Name of restaurant,City,Countty Code,Day of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
500 Degrees New York Style Pizzeria,Charlotte,Charlotte,0,11,00,21,00
500 Degrees New York Style Pizzeria,Charlotte,Charlotte,1,11,00,21,00
500 Degrees New York Style Pizzeria,Charlotte,Charlotte,2,11,00,21,00
500 Degrees New York Style Pizzeria,Charlotte,Charlotte,3,11,00,21,00
500 Degrees New York Style Pizzeria,Charlotte,Charlotte,4,11,00,23,00
500 Degrees New York Style Pizzeria,Charlotte,Charlotte,5,11,00,22,00
50's Diner Omelet House,Las Vegas,Las Vegas,0,07,00,21,00
50's Diner Omelet House,Las Vegas,Las Vegas,1,07,00,21,00
50's Diner Omelet House,Las Vegas,Las Vegas,2,07,00,21,00
50's Diner Omelet House,Las Vegas,Las Vegas,3,07,00,21,00
50's Diner Omelet House,Las Vegas,Las Vegas,4,07,00,21,00
50's Diner Omelet House,Las Vegas,Las Vegas,5,07,00,21,00
50's Diner Omelet House,Las Vegas,Las Vegas,6,07,00,15,00
5280 Burger Bar,Denver,Denver,0,11,00,22,00
5280 Burger Bar,Denver,Denver,1,11,00,22,00
5280 Burger Bar,Denver,Denver,2,11,00,22,00
5280 Burger Bar,Denver,Denver,3,11,00,22,00
5280 Burger Bar,Denver,Denver,4,11,00,23,00
5280 Burger Bar,Denver,Denver,5,11,00,23,00
5280 Burger Bar,Denver,Denver,6,11,00,22,00
5280 Sliders,Denver,Denver,0,15,00,22,00
5280 Sliders,Denver,Denver,1,15,00,22,00
5280 Sliders,Denver,Denver,2,15,00,22,00
5280 Sliders,Denver,Denver,3,15,00,22,00
5280 Sliders,Denver,Denver,4,15,00,00,00
5280 Sliders,Denver,Denver,5,14,00,00,00
5280 Sliders,Denver,Denver,6,14,00,22,00
580 Bench,Melbourne,Melbourne,0,07,00,16,00
580 Bench,Melbourne,Melbourne,1,07,00,16,00
580 Bench,Melbourne,Melbourne,2,07,00,16,00
580 Bench,Melbourne,Melbourne,3,07,00,16,00
580 Bench,Melbourne,Melbourne,4,07,00,16,00
5Church,Charlotte,Charlotte,0,11,00,22,00
5Church,Charlotte,Charlotte,1,11,00,22,00
5Church,Charlotte,Charlotte,2,11,00,22,00
5Church,Charlotte,Charlotte,3,11,00,23,00
5Church,Charlotte,Charlotte,4,11,00,02,00
5Church,Charlotte,Charlotte,5,11,00,02,00
5Church,Charlotte,Charlotte,6,10,00,22,00
62 Rokujuni,Sydney,Sydney,0,11,00,15,00
62 Rokujuni,Sydney,Sydney,0,18,00,21,00
62 Rokujuni,Sydney,Sydney,1,11,00,15,00
62 Rokujuni,Sydney,Sydney,1,18,00,21,00
62 Rokujuni,Sydney,Sydney,2,11,00,15,00
62 Rokujuni,Sydney,Sydney,2,18,00,21,00
62 Rokujuni,Sydney,Sydney,3,11,00,15,00
62 Rokujuni,Sydney,Sydney,3,18,00,21,00
62 Rokujuni,Sydney,Sydney,4,11,00,15,00
62 Rokujuni,Sydney,Sydney,4,18,00,21,00
678 Korean Bbq,Sydney,Sydney,0,11,00,00,00
